Unnamed: 0,twitter-Kwak,livejournal-soc:SNAP,R-MAT,LUBM,cit-patents:SNAP,yahoo:webscope,uk-2007-05:webgraph,friendster:SNAP,usa-roads:DIMACS,netflix,uk-2002:webgraph,Erdos,unspecified synthetics,twitter-mpi,"DBLP (0.96m, 10.1m)",uk-union:webgraph,DBpedia (Wikipedia),soc-Epinions1:SNAP,Kronecker,YAGO1 (Wikipedia + WordNet),amazon0601:SNAP,livejournal-com:SNAP,arabic-2005:webgraph,wikipedia:UFL,wikipedia-dump:KONECT,soc-pokec:SNAP,orkut:SNAP,uk-2005:webgraph,BTC 2009,BTC 2012,WatDiv/WSDTS,wordnet,web-google:SNAP,webbase-2001:webgraph,sk-2005:webgraph,3d grid,BTC 2010,AIDS corpus,amazon:webgraph,Bio2RDF,bitcoin transactions,BSBM,ca-condMat:SNAP,ca-GrQc:SNAP,cal-roads:DIMACS,citeseer:LINQS,clueweb09-A:lemur,clueweb09-B:lemur,codebook collaboration,data commons 2014,de Brujin,delaunay:DIMACS,domains:webscope,ego-gplus:SNAP,ego-twitter:SNAP,email-enron:SNAP,eu-2005:webgraph,euro-road:DIMACS,facebook-ego:SNAP,facebook-gjoka,facebook-samples,facebook-unknown (SNAP?),facebook-wilson,YAGO2 (Wikipedia + WordNet),flickr:UFL,flickr:unknown (SNAP?),Freebase,FriendFeed (SNAP?),gengraph,graphgen,hollywood:webgraph,Human protein,imdb,indochina-2004:webgraph,"instagram ""#foodporn"" dataset",it-2004:webgraph,KDD Cup 2012,kronecker:UFL,last.fm/api,LDBC,LinkBench,livejournal:KONECT,livejournal-mitzenmacher,loc-Brightkite:SNAP,MiCo (Microsoft Coauthorship),NASA,"NELL ""Read the Web""","NELL webcrawl (2m, 200m)",p2pGnutella04:SNAP,p2pGnutella31:SNAP,preferential attachment,private social network,PubChem,Reuters Corpus 1,soc-Slashdot0811:SNAP,soc-Slashdot0902:SNAP,SP2 SPARQL benchmark,synthetic collaborative filtering,synthetic tensors,twitter-kineograph,twitter-unknown (SNAP?),video coseg (3d grid),webbase:UFL,wiki-vote:SNAP,wikipedia-crawl,wikipedia-dump-pagelink,wikipedia-dump-wordpage,wikitalk:SNAP,WISE 2012 Challenge,Yeast protein,youtube-cheng,Zipf
./GRADES2015/a2-nguyen.pdf,,X,,,,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,X,,,,,X,X,,,,,,,,X,,,,,,,,
./KDD2011/p1091-kang.pdf,,,,,,X,,,,,,"unnamed (up to 177k, 2b)",,,,,,,"unnamed (up to 177k, 2b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./KDD2013/p77-han.pdf,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./OSDI12/osdi12-final-126.pdf,X,X,,,,X,X,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./OSDI12/osdi12-final-167.pdf,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unnamed (up to e641m)
./OSDI14/osdi14-paper-gonzalez.pdf,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./SIGMOD2012/p145-mondal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"unnamed (1.8m, 18m)",,,,,,,,,,,,,,,,,,,,,
./SIGMOD2012/p517-yang.pdf,X,,"(0.2b, 1.0b)",,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(e100m),,,,,,,,,,,,,,,
./SIGMOD2013/p505-shao.pdf,,,"(d13, v64-1024m),  (d2-32, v1-256m)",(t1.367b),"X (unclear, poorly sourced)",,,,,,,,"(d16, v1-128m), (d10-200), (1b, 13b)",,,,,,,,,,,,,,,,,,,"X (hard to verify, poorly sourced)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./SIGMOD2014/p1335-mondal.pdf,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./SIGMOD2014/p289-gurajada.pdf,,,,t1.84b,,,,,,,,,,,,,,,,,,,,,,,,,,X,t109m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./SIGMOD2014/p625-shao.pdf,X (claims 1.2b edges),X (claims 85m edges),,,X,,,,,,,"networkx (4m, 80m)",,,,,,,,,,,,,"X (i think this might be the bipartite network; they claim 26m/543m, which afaik only refs the bipartite net)",,,,,,,,X (claims 8.6m edges),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
./SIGMOD2014/p637-kim.pdf,X,X,"(16m,3.072b)-(80m,3.072b)",,,X,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./SIGMOD2015/p1105-perez.pdf,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./SOSP2013/p439-murray.pdf,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
./SOSP2013/p456-nguyen.pdf,X,,"(17m, 268m), (13m, 2.14b)",,,,,,X,,,,,X (claims 1.9b edges),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./SOSP2013/p472-roy.pdf,X,X,(scale 25),,X,X,,X,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./SOSP2015/p410-roy.pdf,,,"(scale 27), (scale 32), (scale 36, v250b, e1.0t)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./SOSP2015/p425-teixeira.pdf,,,,,"X (claims 2.75m, 14.0m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,X,
./VLDB2012/p716_yuchenglow_vldb2012.pdf,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,
./VLDB2012/p788_zhaosun_vldb2012.pdf,,,"(d64, v64m)",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2013/p1270-he.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2013/p1678-popescu.pdf,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
./VLDB2013/p1906-seo.pdf,,X,"(d16, v8.4m)-(d16, v268.4m)",,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2013/p1918-sarwat.pdf,,,"(""graph size"" up to 10^6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2013/p2014-xie.pdf,,X,,,,,,,,,X,,,,"(0.968m, 7.0m)",,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2013/p265-zeng.pdf,,,,(t5.3m)-(t9.96b),,,,,,,,,,,,,X (claims t15.37m),,,,,,,,,,,,,,,,,,,,(t3.17b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2014/p1405-simmen.pdf,,,,,,,,,,,,,"(v13m-400m, up to e40b, uniform d100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2014/p1669-jindal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2014/p1833-shang.pdf,X,X,,,,,X,X,,,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
./VLDB2014/p193-tian.pdf,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2014/p1981-yan.pdf,,,,,,,,X (reports 3.6b edges),X,,,,,,,X,,,,,,,,,,,,,"(164.7m, 772.8m)",,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2014/p541-jiang.pdf,(subset of v8m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2015/p1214-sundaram.pdf,X,X,"(1m,16.7m)-(16m,267m)",,,,,X,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(9996.9k users, 20.9k items, 248.9m ratings)",,,,,,,,,,,,,,
./VLDB2015/p1262-Zhou.pdf,X,,"(4.4b, 17.2b)",,,X,,,,,,"gtgraph (1.1b, 13b)",,,"(0.96m, 10.1m), (1.3m, 32m)",,,,"snap (88m, 1.5b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,"(330m, 2.1b)",,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2015/p161-bu.pdf,,,,,,X (claims e8b),,,,,,,,,,,,,,,,,,,,,,,"(690m, 6.17b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2015/p1804-ching.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(up to e200m), (up to e400b), (over e100t)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2015/p377-zhou.pdf,X,X,,,,,X,,,,,,"(50m,1b)-(250m,5b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2015/p950-han.pdf,X,,,,,,X,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./GRADES2014/05-raman.pdf,,,,"(173m, 658m), (542m, 2.05b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./GRADES2014/11-jayaram.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./KDD2012/p316-kang.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(i = 26m, j = 26m, k = 48m, 144m nonzero)",,,,,,,,,,,,"(10k to 1b in all dimensions, 100-20m nonzeros)",,,,,,,,,,,,,
./SIGMOD2013/p337-han.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,
./SIGMOD2015/p1887-sun.pdf,,,,,,,,,,,,,,,,,X (version 3.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(up to 1.0b, 4.3b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./SIGMOD2015/p93-yu.pdf,,X,,,X,,,,,X,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2013/p181-khan.pdf,,,,,,,,,,,,,,,,,X,,,"uncertain (12.8m, 18.28m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2013/p85-feng.pdf,,,,,,,,,,,,,,,"(916k, 3.063m)",,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
./VLDB2015/p1238-kim.pdf,,,,"(2.645m, 19.45m), (26.3m, 193.7m), (263m, 1.937b)",,,,,,,,,,,,,,,,X,,,,,,,,,,"(367.7m, 1.437b)",,,,,,,,,,,,"(224m, 997.8m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2015/p1466-crotty.pdf,,,,,,,,,,,,,(v1m with normal distribution of e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2015/p1848-harbi.pdf,,,,(t1366.7m),,,,,,,,,,,,,,,,,,,,,,,,,,,(t109.23m),,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2015/p654-Hammoud.pdf,,,,"(t1b), (t3b), (t5b), t7b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(t320m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2015/p85-zhu.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(g1000, dens 0.1-0.3, e10-20)",,,,,,,,,,,,,,,,,,,,,,,"(g1-10k, v10-20)",,,,,,,,,,,,,,,,,,,
./KDD2013/p95-canny.pdf,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
./SIGMOD2014/p827-qin.pdf,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./SIGMOD2015/p1777-papailiou.pdf,,,,"(v10k, t1.38b) (v20k, t2.8b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./VLDB2011/p1123-huang.pdf,,,,"(v2000, t270m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
