Algorithm,Dataset,Iteration,Real,User,Sys
Algorithm,Dataset,Iteration,Real,User,Sys,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,1,35.41,91.44,7.21
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,14,34.91,83.79,5.34,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,15,34.74,91.39,6.97
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,15,35.20,84.46,5.24,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,16,35.21,91.90,7.08
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,16,31.69,84.53,5.10,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,17,35.17,91.70,6.79
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,17,34.17,84.89,5.25,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,18,35.11,91.89,6.85
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,18,34.03,85.22,5.32,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,19,35.16,91.72,7.20
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,19,32.25,84.16,5.09,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,20,35.05,91.33,7.23
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,20,32.96,84.00,5.05,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,21,35.15,90.79,7.27
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,21,34.33,83.44,5.27,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,22,35.34,91.67,7.11
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,22,34.24,83.60,5.14,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,23,34.86,90.45,6.99
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,23,33.22,84.75,5.15,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,24,35.16,92.28,7.11
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,24,31.97,83.65,5.21,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-revdegree_nz.txt,25,35.68,91.49,7.17
