Algorithm,Dataset,Iteration,Real,User,Sys
Algorithm,Dataset,Iteration,Real,User,Sys,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,1,31.39,77.28,7.15
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,11,30.81,71.16,5.21,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,12,31.23,78.02,6.96
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,12,28.11,71.91,5.32,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,13,30.96,76.80,7.14
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,13,27.82,71.34,5.11,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,14,30.97,78.26,7.20
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,14,27.96,70.27,5.23,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,15,30.74,77.12,6.95
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,15,27.63,70.88,5.13,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,16,30.63,75.26,7.06
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,16,28.11,72.03,5.12,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,17,30.82,76.89,7.13
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,17,28.28,71.70,5.05,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,18,30.69,77.29,7.05
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,18,27.36,69.04,4.93,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,19,30.81,77.10,7.29
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,19,30.53,70.97,5.14,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,20,30.76,77.49,6.96
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,20,27.82,71.22,4.97,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,21,30.70,77.25,7.16
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,21,27.74,71.39,5.09,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,22,30.95,78.16,7.01
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,22,27.53,70.94,5.08,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,23,30.77,77.99,6.90
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,23,28.57,71.63,5.19,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,24,31.02,77.48,7.04
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,24,28.08,71.34,5.22,PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/soc-livejournal/soc-LiveJournal1-default_nz.txt,25,30.91,77.94,6.82
